Homepage,Homepage _Duration,Aboutus,Aboutus_Duration,Contactus,Contactus_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Province,TrafficType,VisitorType,Weekend
0,0,0,0,15,2653.5,0,0.04,0,0,Sep,4,1,7,1,Returning_Visitor,FALSE
9,443.2916667,1,0,74,3615.889239,0.007028112,0.016930138,1.119759036,0.8,May,2,2,3,1,Returning_Visitor,FALSE
0,0,0,0,15,143.75,0.08,0.091555556,0,0.6,May,3,2,1,13,Returning_Visitor,FALSE
5,548.3142857,6,448.5,102,5703.476786,0.00173913,0.01470751,0,0,May,2,2,1,4,Returning_Visitor,TRUE
0,0,0,0,6,184,0.066666667,0.116666667,0,0,Nov,2,10,4,3,Returning_Visitor,FALSE
6,112.5,0,0,86,2041.23355,0.000387597,0.00786268,5.911452178,0,Nov,2,4,1,2,Returning_Visitor,FALSE
2,844,0,0,6,192.5,0.05,0.075,0,0.6,May,3,2,6,2,Returning_Visitor,FALSE
0,0,0,0,2,222,0,0.1,0,0,Feb,2,6,1,2,Returning_Visitor,TRUE
2,46.4,0,0,8,349,0.02,0.08,0,0,Aug,4,1,1,1,Returning_Visitor,FALSE
3,304,0,0,31,1735.301587,0.015625,0.0515625,0,0,Mar,1,1,2,1,Returning_Visitor,FALSE
0,0,0,0,17,437.1666667,0.011111111,0.033333333,0,0,Feb,2,4,1,3,Returning_Visitor,FALSE
5,65.5,0,0,27,354.5833333,0.014285714,0.023809524,0,0,Nov,1,1,8,1,Returning_Visitor,FALSE
10,161.7083333,1,0,126,2645.833333,0.004511278,0.01597088,2.776907268,0.6,May,3,2,2,3,Returning_Visitor,FALSE
12,633.5,0,0,28,752.7166667,0,0.017027417,0,0,May,2,2,1,2,Returning_Visitor,TRUE
0,0,0,0,19,528.25,0,0.005263158,0,0,Sep,2,2,5,2,Returning_Visitor,FALSE
1,41,0,0,43,1087.25,0,0.013636364,0,0,Mar,4,2,1,1,Returning_Visitor,FALSE
0,0,0,0,48,2235,0.004347826,0.025362319,9.127391304,0,May,2,2,7,2,Returning_Visitor,TRUE
0,0,0,0,39,963.1666667,0.005405405,0.028828829,9.922972973,0.6,May,2,6,2,3,Returning_Visitor,FALSE
0,0,0,0,18,5188.5,0,0.05,0,0,Mar,2,5,1,1,Returning_Visitor,FALSE
1,22.2,0,0,5,136.1,0.066666667,0.066666667,0,0,Oct,1,1,1,20,Returning_Visitor,FALSE
1,15,0,0,29,1397.5,0.011555556,0.046190476,0,0.8,May,2,4,7,3,Returning_Visitor,FALSE
8,146.5333333,0,0,107,3739.635556,0,0.009316239,2.551140814,0,Oct,2,2,3,2,Returning_Visitor,FALSE
4,88.625,3,170.5833333,5,124.9583333,0,0.005555556,0,0,Nov,2,4,7,2,New_Visitor,FALSE
6,326.25,4,94,128,5062.213753,0.000854701,0.01791847,0,0,Feb,2,5,1,3,Returning_Visitor,FALSE
2,109.8,0,0,32,897.3619048,0.005882353,0.035620915,0,0,Sep,2,10,4,2,Returning_Visitor,FALSE
0,0,0,0,12,213.2833333,0.016666667,0.041666667,0,0,Aug,3,2,3,4,Returning_Visitor,FALSE
0,0,0,0,52,2086.242857,0.015384615,0.020352564,0,0,Feb,2,2,7,1,Returning_Visitor,FALSE
0,0,0,0,11,1390.166667,0.012121212,0.014545455,0,0,Mar,1,1,1,3,Returning_Visitor,TRUE
4,134.1,0,0,7,110.3,0,0.015151515,0,0,Sep,3,2,1,5,New_Visitor,FALSE
0,0,0,0,1,0,0.2,0.2,0,0,May,2,2,6,4,Returning_Visitor,FALSE
1,0,0,0,8,436,0,0.022222222,0,0,Mar,2,4,6,1,Returning_Visitor,TRUE
0,0,0,0,9,324.5,0.014814815,0.022222222,0,0,Mar,1,2,6,1,Returning_Visitor,FALSE
1,80,2,48,25,879.6666667,0,0.007692308,0,0,May,1,1,4,2,New_Visitor,TRUE
3,209,0,0,18,412.3333333,0,0.01875,0,0.4,May,3,2,3,3,Returning_Visitor,FALSE
3,148,2,58.5,33,1847.211905,0,0.007830405,0,0,May,2,4,3,2,Returning_Visitor,FALSE
2,11,0,0,19,608.9428571,0.009090909,0.041915584,0,0,Mar,2,2,1,1,Returning_Visitor,FALSE
9,152.875,2,54.91666667,85,2971.254167,0.002197802,0.013631606,1.022550578,0,Nov,2,2,3,1,Returning_Visitor,FALSE
0,0,1,104,9,244.6666667,0.05,0.096,0,1,May,3,2,3,4,Returning_Visitor,TRUE
10,1455.35,0,0,66,1646.612195,0.007142857,0.029065112,0,0,Nov,2,2,1,2,Returning_Visitor,TRUE
0,0,2,172,32,1227.047222,0.005882353,0.015787285,6.380862745,0,May,2,2,1,6,Returning_Visitor,FALSE
0,0,0,0,14,266.0166667,0,0.042857143,0,0,Mar,3,2,1,1,Returning_Visitor,TRUE
0,0,0,0,1,0,0.2,0.2,0,0,Dec,2,2,1,3,Returning_Visitor,FALSE
1,81,0,0,12,131.5,0,0.003076923,0,1,May,3,2,1,4,Returning_Visitor,TRUE
0,0,1,38,10,311,0.018181818,0.036363636,0,0,May,2,10,2,4,Returning_Visitor,TRUE
0,0,0,0,2,31,0,0.025,0,0,Mar,3,2,3,3,Returning_Visitor,FALSE
15,591.6636364,0,0,56,2504.413636,0.004918033,0.011662763,8.184095082,0,May,3,2,1,2,Returning_Visitor,FALSE
1,2,0,0,24,958.25,0.025,0.035,24.34016667,0,May,2,2,1,6,Returning_Visitor,FALSE
0,0,0,0,12,1165.333333,0.004166667,0.043055556,0,0,Mar,2,2,3,2,Returning_Visitor,FALSE
0,0,0,0,7,42,0.057142857,0.085714286,0,0,Dec,2,4,6,1,Returning_Visitor,TRUE
2,60,0,0,20,717.6166667,0,0.004761905,60.19477937,0,Mar,2,5,9,2,Returning_Visitor,FALSE
0,0,0,0,6,399,0.033333333,0.022222222,44.99,0,May,3,2,2,5,Returning_Visitor,FALSE
1,7,0,0,11,98.1,0.035555556,0.058412698,0,0,June,1,1,1,20,Returning_Visitor,FALSE
1,7,2,562,36,1300.190476,0.010810811,0.038738739,0,0,Mar,2,2,1,1,Returning_Visitor,TRUE
4,71.33333333,0,0,21,295.3333333,0.016666667,0.058333333,0,0,Jul,2,10,3,2,Returning_Visitor,TRUE
0,0,0,0,5,270.5833333,0.04,0.07,0,0,Dec,1,1,5,8,Returning_Visitor,TRUE
0,0,0,0,2,30.5,0,0.05,0,0,Mar,3,2,4,10,Returning_Visitor,FALSE
8,246.5,0,0,74,2326.666667,0,0.002597403,5.015272727,0,May,2,4,3,2,New_Visitor,FALSE
0,0,0,0,15,263.25,0.013333333,0.04,0,0,Nov,1,1,3,10,Returning_Visitor,TRUE
4,56,1,88,22,1734.780952,0,0.010142857,0,0,Mar,3,2,3,9,Returning_Visitor,TRUE
2,180.9,0,0,26,1030.06,0,0.005952381,0,0,Aug,3,2,6,2,New_Visitor,FALSE
0,0,0,0,7,96,0,0.025,54.20146753,0,Nov,2,2,1,2,New_Visitor,FALSE
0,0,0,0,7,98.5,0.071428571,0.1,0,0,Mar,1,1,6,1,Returning_Visitor,FALSE
0,0,0,0,25,1320.5,0,0.030666667,0,0.8,May,2,10,1,1,Returning_Visitor,FALSE
1,4,0,0,47,2386.066667,0.004444444,0.030864198,0,0,Nov,2,2,1,1,Returning_Visitor,FALSE
0,0,0,0,15,638.6428571,0.003571429,0.053571429,0,0,Mar,3,2,1,1,Returning_Visitor,FALSE
4,292.1904762,1,194.5,56,1948.713745,0.001724138,0.021055381,14.69293103,0,May,1,2,3,2,Returning_Visitor,FALSE
0,0,0,0,3,106.5,0,0.033333333,0,0,May,3,2,2,13,Returning_Visitor,FALSE
1,112.8,0,0,8,543.7333333,0,0.011111111,28.69843548,0,Oct,1,1,6,2,New_Visitor,TRUE
0,0,0,0,4,121.5,0,0.05,0,0,Nov,1,1,4,8,Returning_Visitor,FALSE
0,0,0,0,4,44.4,0,0.05,0,0,June,2,10,1,3,Returning_Visitor,FALSE
1,72.6,0,0,44,1256.825,0,0,0,0,Nov,1,1,4,5,New_Visitor,FALSE
6,239.3333333,0,0,31,1875.169444,0,0.025324675,21.85958403,0,Nov,1,1,1,2,Returning_Visitor,FALSE
0,0,0,0,29,1102.85,0.009195402,0.028275862,0,0,Nov,1,1,1,3,Returning_Visitor,FALSE
12,155.6,6,282,52,1283.052597,0.024747475,0.039201413,12.07468889,0,May,1,1,3,2,Returning_Visitor,FALSE
0,0,0,0,3,79,0,0.033333333,0,0,Nov,1,2,1,1,Returning_Visitor,FALSE
1,216.6,0,0,34,1463.8,0.006060606,0.007575758,0,0,Nov,1,1,8,2,Returning_Visitor,FALSE
2,310.8571429,3,27,68,2950.62381,0.009589041,0.023074581,16.6702274,0,May,2,2,7,6,Returning_Visitor,FALSE
22,438.3309524,3,703.5,178,6241.687398,0.002878526,0.016885589,2.038399449,0,Nov,2,2,1,10,Returning_Visitor,FALSE
1,14.2,0,0,22,839.568189,0,0.000952381,60.58437066,0,Nov,3,2,3,2,New_Visitor,TRUE
4,190,0,0,53,1328.626894,0.017857143,0.022238793,0,0,Dec,1,1,1,10,Returning_Visitor,TRUE
0,0,0,0,23,647.1428571,0.004347826,0.022222222,0,0,Nov,1,8,1,11,Returning_Visitor,TRUE
0,0,0,0,30,1281,0.006666667,0.02,0,0,Mar,2,4,2,1,Returning_Visitor,FALSE
3,78,0,0,27,672.5833333,0.0125,0.039583333,8.07853125,0,May,2,2,4,4,Returning_Visitor,FALSE
0,0,0,0,13,737.1666667,0.038461538,0.084615385,0,0,Nov,3,2,3,13,Returning_Visitor,FALSE
1,0,0,0,2,66.5,0,0.1,0,0,Dec,2,2,9,2,Returning_Visitor,TRUE
4,251,9,172,64,4326.666667,0.008552632,0.024502924,0,0,Dec,2,2,4,2,Returning_Visitor,FALSE
5,69.6,3,53,6,92.7,0,0.02,0,0,Jul,2,6,1,3,New_Visitor,TRUE
0,0,0,0,1,0,0.2,0.2,0,0,May,1,1,4,3,Returning_Visitor,FALSE
0,0,0,0,13,323.3,0.084615385,0.102564103,0,0,June,3,2,1,1,Returning_Visitor,FALSE
0,0,0,0,1,0,0.2,0.2,0,0,May,3,2,3,1,Returning_Visitor,FALSE
0,0,0,0,1,0,0.2,0.2,0,0.4,May,1,1,1,3,Returning_Visitor,FALSE
0,0,0,0,54,3978.245833,0.003846154,0.024807692,0,0,Nov,2,2,6,1,Returning_Visitor,TRUE
9,184,5,61,68,1986.251515,0,0.009553204,17.19611523,0,May,2,6,2,3,Returning_Visitor,FALSE
4,32,1,43.5,311,12500.35306,0.001387656,0.014687275,0,0,Nov,2,2,7,2,Returning_Visitor,FALSE
1,82,0,0,59,1927.122222,0.007909605,0.023728814,23.87629104,0,May,2,2,9,13,Returning_Visitor,FALSE
2,10.77142857,0,0,70,2094.138889,0.023611111,0.05224537,0,0,Jul,2,2,3,1,Returning_Visitor,FALSE
2,146,2,52.25,1,0,0,0.04,0,0,Dec,1,1,1,2,Returning_Visitor,FALSE
1,5,0,0,13,545.5714286,0.013333333,0.020784314,26.12015415,0,Mar,2,2,3,2,Returning_Visitor,TRUE
0,0,0,0,4,331,0.05,0.1,0,0,Mar,2,2,1,1,Returning_Visitor,FALSE
1,37,0,0,30,1584.3,0,0.01547619,3.356892857,0,May,3,2,9,4,Returning_Visitor,TRUE
0,0,0,0,21,1535,0.01,0.048333333,0,0,Nov,2,2,7,3,Returning_Visitor,FALSE
6,160.0952381,3,94.5,47,1682.870247,0.001333333,0.007891429,5.698642857,0,Mar,3,2,6,10,Returning_Visitor,FALSE
6,125.5,0,0,19,1409.416667,0.002469136,0.023703704,0,0,Mar,1,8,3,2,Returning_Visitor,FALSE
5,39,2,12,15,158,0,0.02010582,0,0,May,2,2,9,4,Returning_Visitor,FALSE
2,24,0,0,28,1206.614719,0,0.023222222,5.417644444,0,Mar,2,2,1,2,Returning_Visitor,FALSE
0,0,1,83,16,223,0,0.023529412,0,0,Mar,2,2,1,2,Returning_Visitor,FALSE
6,141.0583333,0,0,46,1728.866268,0,0.019059741,0,0,June,2,2,7,4,Returning_Visitor,FALSE
2,229.5,0,0,31,1909.232143,0.0125,0.034375,17.15249937,0,Dec,2,2,3,8,Returning_Visitor,FALSE
0,0,0,0,12,70,0.15,0.166666667,0,0.4,May,1,1,3,3,Returning_Visitor,FALSE
1,4,0,0,18,631.6666667,0,0.027777778,56.32466667,0,May,2,2,1,3,Returning_Visitor,FALSE
17,195.4864719,1,60.5,94,2267.472565,0.002111614,0.008213489,4.511078764,0,Nov,3,2,3,2,Returning_Visitor,FALSE
0,0,0,0,5,156,0,0.04,0,0,Feb,1,1,9,3,Returning_Visitor,FALSE
1,6,0,0,16,608.8333333,0.011764706,0.026666667,52.70052142,0,Mar,3,2,1,11,Returning_Visitor,FALSE
5,224.5833333,5,84,15,674.247619,0.008695652,0.013043478,0,0,May,3,2,4,2,Returning_Visitor,FALSE
0,0,0,0,55,946.3636364,0.010909091,0.025454545,0,0,Nov,2,2,6,1,Returning_Visitor,TRUE
3,31.2,1,42.4,13,134.45,0,0.0125,0,0,Nov,2,2,6,2,New_Visitor,FALSE
3,44.75,0,0,7,102,0.066666667,0.074074074,0,0.4,May,3,2,2,13,Returning_Visitor,FALSE
0,0,0,0,2,16,0,0.1,0,0,Nov,2,2,4,8,Returning_Visitor,FALSE
0,0,0,0,3,144.5,0,0.1,0,0,Nov,3,2,2,2,New_Visitor,FALSE
4,100.75,0,0,11,221.375,0,0.015384615,0,0,Nov,2,2,3,2,New_Visitor,TRUE
8,125.6309524,6,75,312,13379.36658,0.002769231,0.014969192,8.055833998,0,Dec,2,2,4,2,Returning_Visitor,FALSE
4,40.2,1,0,12,2339.207143,0.011111111,0.036944444,0,0,Nov,1,1,1,2,Returning_Visitor,FALSE
2,35.2,2,98.8,84,8365.602222,0.008914729,0.037209302,0,0,Sep,2,2,5,1,Returning_Visitor,FALSE
3,107.2083333,0,0,17,513.25,0,0.012030075,17.54619116,0,Nov,2,2,1,10,Returning_Visitor,FALSE
0,0,0,0,6,223.3333333,0,0.008333333,0,0,May,2,2,1,2,Returning_Visitor,FALSE
0,0,0,0,6,181,0,0.016666667,0,0,May,3,2,1,3,Returning_Visitor,FALSE
3,212.6,0,0,87,3898.816667,0,0.00411985,0,0,Sep,2,2,7,1,Returning_Visitor,FALSE
0,0,0,0,15,751.8,0.026666667,0.04,0,0,Mar,1,2,2,1,Returning_Visitor,FALSE
0,0,0,0,1,0,0.2,0.2,0,0,Nov,7,1,1,3,Returning_Visitor,FALSE
0,0,0,0,12,312.0333333,0,0.009090909,17.808,0,May,2,2,8,6,Returning_Visitor,FALSE
2,26.75,3,49.5,62,2964.650595,0.010769231,0.026444444,0,0,Dec,3,2,1,2,Returning_Visitor,FALSE
1,0,0,0,21,658.25,0.035497835,0.057482993,0,0,Nov,3,2,5,13,Returning_Visitor,FALSE
0,0,0,0,1,0,0.2,0.2,0,0,Nov,4,1,1,10,Returning_Visitor,TRUE
2,76.5,0,0,10,123.2291667,0.022857143,0.059444444,0,0,Dec,1,2,1,10,Returning_Visitor,FALSE
0,0,0,0,53,715.5,0.022641509,0.036298293,0,1,May,2,2,7,3,Returning_Visitor,TRUE
0,0,0,0,14,267.25,0,0.021428571,0,0,Nov,3,2,1,11,New_Visitor,TRUE
1,19,0,0,8,208,0.04,0.1,0,0,Nov,2,2,1,1,Returning_Visitor,FALSE
0,0,0,0,4,112.5,0,0.05,0,0,May,3,2,1,6,Returning_Visitor,FALSE
0,0,0,0,5,138,0.02,0.1,0,0.8,May,2,2,1,4,Returning_Visitor,FALSE
0,0,0,0,25,316.5416667,0,0.02,0,0,Dec,2,2,9,1,Returning_Visitor,FALSE
4,106,0,0,6,180.4166667,0,0.025,0,0,Nov,3,6,3,2,New_Visitor,FALSE
9,227.375,4,102.25,48,2849.482143,0,0.014853801,4.741626063,0,Nov,2,2,4,2,Returning_Visitor,FALSE
0,0,0,0,7,1721.666667,0.038095238,0.038571429,0,0,Nov,1,1,3,3,Returning_Visitor,FALSE
0,0,0,0,22,815.8333333,0,0.01,0,0,May,2,4,1,1,Returning_Visitor,FALSE
0,0,0,0,5,277.5,0,0.04,42.03044096,0,Nov,2,2,3,2,Returning_Visitor,FALSE
0,0,0,0,7,56,0,0.042857143,0,1,May,2,2,3,1,Returning_Visitor,TRUE
2,267.8,0,0,6,616.5,0.028571429,0.038095238,0,0,Sep,3,2,3,4,Returning_Visitor,FALSE
0,0,0,0,8,233.6666667,0.025,0.0875,0,0,Mar,2,2,3,13,Returning_Visitor,FALSE
0,0,0,0,76,2854.783333,0.005866667,0.019555556,0,0,May,2,2,3,4,Returning_Visitor,FALSE
0,0,0,0,9,145,0.066666667,0.122222222,0,0.8,May,3,2,1,13,Returning_Visitor,FALSE
0,0,0,0,2,21.2,0,0.1,0,0,June,2,2,5,1,Returning_Visitor,FALSE
9,1294.9,1,32.66666667,37,1012.233333,0,0.006910299,33.31220592,0,Nov,2,2,1,2,Returning_Visitor,FALSE
0,0,0,0,12,337,0,0.006666667,19.37005896,0,Dec,2,5,4,1,Returning_Visitor,TRUE
0,0,0,0,5,59,0.08,0.12,0,0,Mar,2,2,7,1,Returning_Visitor,FALSE
5,59,0,0,3,44.66666667,0,0.025,0,0,Mar,2,4,6,2,Returning_Visitor,TRUE
2,64.5,0,0,24,1151.136905,0,0.0186,15.27655756,0,Dec,2,2,3,2,Returning_Visitor,FALSE
5,43.4,0,0,32,3121.555556,0.009259259,0.036759259,26.5455,0,May,2,4,4,2,Returning_Visitor,FALSE
0,0,0,0,20,526.8,0,0.010526316,104.2012273,0,Sep,2,2,1,2,Returning_Visitor,FALSE
7,177.25,0,0,13,297.8333333,0,0.021428571,0,0,Nov,1,2,3,2,New_Visitor,TRUE
3,45.5,0,0,43,1738.25,0.006349206,0.03537415,0,0,May,2,5,7,3,Returning_Visitor,FALSE
9,175.9333333,0,0,28,717.2190476,0.005882353,0.017058824,0,1,May,2,2,5,4,Returning_Visitor,TRUE
5,193,1,13,66,2049.458471,0.004489796,0.012765306,29.45815149,0,Mar,3,2,3,1,Returning_Visitor,TRUE
0,0,0,0,15,372.0833333,0,0.04,0,0,Nov,2,2,1,2,New_Visitor,TRUE
0,0,0,0,5,27.2,0,0.04,0,0,Nov,2,2,1,4,Returning_Visitor,FALSE
0,0,2,15,93,3646.278788,0.017204301,0.023117504,0,0,May,1,1,5,4,Returning_Visitor,FALSE
0,0,0,0,111,1624.75,0.013636364,0.025515152,0,0,Dec,2,2,1,2,Returning_Visitor,FALSE
0,0,0,0,9,11,0.155555556,0.177777778,0,0,May,2,2,2,4,Returning_Visitor,FALSE
5,473.1666667,2,195.4,111,4022.812148,0.003571429,0.012351425,0,0,Aug,3,2,9,5,Returning_Visitor,FALSE
0,0,0,0,8,272.9,0.05,0.075,0,0,Oct,1,1,1,1,New_Visitor,FALSE
0,0,0,0,1,0,0,0.1,0,0,May,2,2,3,18,Returning_Visitor,TRUE
0,0,0,0,14,320.25,0,0.013333333,52.17313647,0,Oct,2,2,1,3,Returning_Visitor,TRUE
8,168.1666667,0,0,70,2146.757984,0,0.009316323,67.30929078,0,Nov,2,4,5,2,Returning_Visitor,FALSE
2,40.2,2,26.1,10,186.7,0,0.021428571,0,0,Oct,2,2,3,3,New_Visitor,FALSE
5,90.875,1,15,58,2153.71859,0.007526882,0.012156298,3.97647235,0,May,3,2,1,2,Returning_Visitor,TRUE
0,0,0,0,1,0,0.2,0.2,0,0,Nov,3,2,4,3,Returning_Visitor,FALSE
15,292.88,1,48.35,130,3645.909048,0.001459854,0.008515815,10.41358118,0,Nov,2,4,8,2,Returning_Visitor,FALSE
0,0,0,0,3,60.5,0.1,0.1,0,0,Nov,3,2,6,6,Returning_Visitor,FALSE
7,122.875,0,0,22,250.0357143,0,0.03974359,0,0,Dec,2,2,1,2,New_Visitor,FALSE
3,103.6,0,0,1,7,0,0.04,0,0,Nov,3,2,1,5,New_Visitor,FALSE
0,0,0,0,5,200,0,0.05,0,0,May,3,2,1,4,Returning_Visitor,TRUE
8,192.4333333,2,53.4,45,1372.875238,0.004166667,0.00625,0,0,Sep,4,1,1,3,New_Visitor,FALSE
0,0,0,0,40,4175.75,0.048333333,0.106,0,1,May,2,2,1,3,Returning_Visitor,TRUE
2,47.5,1,17,40,1202.916667,0.015813953,0.048604651,0,0,Nov,2,6,1,3,Returning_Visitor,FALSE
0,0,0,0,5,164,0.04,0.08,0,0,May,2,2,1,3,Returning_Visitor,TRUE
5,37,1,16,18,463.5,0,0.004545455,0,0,May,2,5,1,6,Returning_Visitor,FALSE
0,0,0,0,46,2308.261905,0,0.000555556,0,0,May,2,2,7,2,New_Visitor,FALSE
1,19,0,0,11,501.75,0.016666667,0.033333333,55.485,0,May,2,4,4,2,Returning_Visitor,FALSE
1,49,0,0,4,2210.5,0,0.013333333,0,0,May,1,1,1,3,Returning_Visitor,TRUE
2,58,0,0,7,101.8,0,0.011111111,0,0,Mar,3,2,8,2,New_Visitor,FALSE
8,71.66666667,0,0,24,364.4166667,0,0.013793103,0,0.2,May,2,2,1,5,Returning_Visitor,FALSE
1,104,0,0,5,152.5,0.028571429,0.057142857,64.95645099,0,Dec,2,13,9,20,Returning_Visitor,FALSE
0,0,0,0,3,65,0.1,0.111111111,0,0,May,3,2,1,3,Returning_Visitor,FALSE
0,0,0,0,27,1871.9,0.014814815,0.020740741,0,0,Sep,1,1,1,3,Returning_Visitor,FALSE
0,0,0,0,57,820.3636364,0.035087719,0.061650605,0,0,June,3,2,3,13,Returning_Visitor,FALSE
0,0,0,0,9,867,0.022222222,0.051851852,0,0,Nov,1,1,1,3,Returning_Visitor,FALSE
1,46.5,0,0,22,578.8106061,0.00952381,0.04021164,0,0,Dec,1,1,2,2,Returning_Visitor,FALSE
0,0,0,0,8,203,0.0125,0.0375,0,0,May,2,2,5,2,Returning_Visitor,TRUE
2,16,0,0,33,1123.242857,0.006060606,0.021969697,11.12342124,0,Mar,2,2,3,13,Returning_Visitor,FALSE
9,268.5,0,0,8,407.5,0,0.0275,0,0,Dec,3,2,3,8,Returning_Visitor,FALSE
3,171.75,3,264.1,49,1435.772114,0.01509434,0.013579188,0,0,Nov,1,1,1,2,Returning_Visitor,FALSE
0,0,0,0,6,313,0,0.05,0,0,May,2,4,3,1,Returning_Visitor,FALSE
2,29.75,0,0,33,689.202381,0.001010101,0.027020202,0,0,Dec,2,2,2,2,Returning_Visitor,FALSE
4,70.4,1,645.5,82,11257.1083,0.005574913,0.019401736,0,0,Nov,2,5,1,2,Returning_Visitor,TRUE
5,230.25,2,135,27,517.3928571,0,0.011458333,30.269375,0,May,2,2,4,2,New_Visitor,TRUE
2,69,0,0,51,2103.628837,0,0.015384615,40.659727,0,Sep,2,2,4,13,Returning_Visitor,FALSE
0,0,0,0,14,1049.05,0,0.016666667,0,0,Nov,3,2,1,20,Returning_Visitor,FALSE
0,0,0,0,48,691.3572797,0.034873188,0.082209406,0,0,Nov,3,2,3,3,Returning_Visitor,FALSE
0,0,0,0,13,324,0,0.003030303,0,0,May,2,2,2,2,New_Visitor,TRUE
10,214.6214286,1,114,36,673.6380952,0.019379845,0.032443035,0,0,Nov,1,1,1,2,Returning_Visitor,FALSE
15,149.0316092,2,1529.2,23,2128.704568,0.005714286,0.020425941,16.19731984,0,Oct,2,2,2,20,Returning_Visitor,FALSE
2,61.5,2,10,13,210,0.0125,0.03125,0,0,Dec,3,2,4,1,Returning_Visitor,FALSE
0,0,0,0,14,313.0178571,0,0.016071429,0,0,Nov,3,2,4,2,Returning_Visitor,FALSE
0,0,0,0,8,1066.25,0,0.028571429,9.0847678,0,Nov,1,8,4,11,Returning_Visitor,TRUE
0,0,0,0,18,644.125,0.00625,0.021924603,0,0,Mar,3,2,3,10,Returning_Visitor,FALSE
10,150.2083333,0,0,14,221.2083333,0,0.012698413,0,0,Dec,2,2,4,2,New_Visitor,FALSE
0,0,0,0,3,41,0,0.066666667,0,0,Feb,1,1,3,3,Returning_Visitor,FALSE
3,150.125,4,26.5,26,1332.695346,0.026523297,0.04656682,5.473874968,0,Dec,3,2,3,2,Returning_Visitor,FALSE
3,182.6428571,3,119.375,64,2671.06994,0.000275482,0.017352092,37.59646822,0,Nov,2,5,6,2,Returning_Visitor,FALSE
12,1449.666667,4,559.0833333,127,4876.007712,0.005755396,0.029203072,5.751219035,0,Nov,2,2,1,2,Returning_Visitor,FALSE
0,0,0,0,4,151.5,0,0.05,0,0,Mar,3,2,1,1,Returning_Visitor,FALSE
0,0,0,0,16,2214.666667,0,0.003921569,92.9041786,0,Oct,2,2,1,2,New_Visitor,FALSE
0,0,0,0,9,329.25,0.05,0.075,38.83384563,0,Dec,3,2,4,1,Returning_Visitor,FALSE
