Homepage,Homepage _Duration,Aboutus,Aboutus_Duration,Contactus,Contactus_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Province,TrafficType,VisitorType,Weekend,Revenue
0,0,0,0,20,804.25,0.015,0.028333333,0,0,Nov,3,2,8,1,Returning_Visitor,FALSE,0
0,0,0,0,23,553.15,0.034782609,0.069565217,0,0,Mar,2,2,3,1,Returning_Visitor,FALSE,0
4,76.6,7,89.53333333,87,4131.156044,0.006593407,0.037080939,0,0,Sep,2,2,1,3,Returning_Visitor,FALSE,0
0,0,0,0,8,83.5,0.075,0.1,0,0,Dec,2,2,5,2,Returning_Visitor,FALSE,0
0,0,1,56,17,1385.833333,0.005882353,0.017647059,39.85866667,0,Mar,2,2,1,2,Returning_Visitor,FALSE,1
3,65.16666667,2,16,23,599.3333333,0.008333333,0.016666667,5.4945,0,May,1,8,2,11,Returning_Visitor,TRUE,1
0,0,0,0,7,76.5,0.007142857,0.066190476,0,0,May,3,2,1,1,Returning_Visitor,FALSE,0
17,311.25,4,428.547619,139,3891.214286,0.001973684,0.011184211,86.79082569,0,Dec,2,2,1,6,Returning_Visitor,FALSE,0
4,69.96666667,0,0,28,2728.755,0,0.009313725,0,0,Oct,1,1,1,5,Returning_Visitor,FALSE,0
0,0,0,0,19,620.0333333,0,0.007894737,0,0,Feb,1,1,4,2,Returning_Visitor,FALSE,0
0,0,0,0,5,66,0,0.053333333,0,0,Mar,1,2,3,3,Returning_Visitor,FALSE,0
2,141.6,0,0,10,728.18,0.018181818,0.065367965,14.28629744,0,Sep,3,2,1,1,Returning_Visitor,TRUE,0
15,1535.355556,0,0,43,3606.088889,0.009770115,0.043951451,0,0,Dec,2,2,1,1,Returning_Visitor,FALSE,0
3,29.44,1,0,4,15.24,0,0.039583333,0,0,Sep,2,2,8,2,Returning_Visitor,FALSE,1
3,335,0,0,6,1615,0,0.016666667,0,0.8,May,3,3,1,4,Returning_Visitor,FALSE,0
8,116.9607143,4,225.3666667,42,539.227381,0.015510204,0.011281179,0,0,Jul,1,1,1,4,Returning_Visitor,FALSE,1
2,32.7,0,0,6,812.35,0.018181818,0.036709957,24.16451021,0,Aug,3,2,1,2,Returning_Visitor,FALSE,0
4,61,0,0,16,502.5,0,0.00952381,71.944,0,May,4,1,2,3,Returning_Visitor,TRUE,1
2,217.8666667,0,0,15,614.6409524,0,0.027777778,0,0,Nov,1,1,2,2,Returning_Visitor,FALSE,0
3,215,0,0,53,1481.429167,0.001851852,0.012345679,56.31760103,0,Nov,1,8,1,11,Returning_Visitor,TRUE,1
11,211.0333333,3,173.2333333,62,1340.676667,0.000391389,0.019726027,17.42324027,0,Aug,2,2,7,2,Returning_Visitor,FALSE,0
2,27.5,0,0,44,1026.450758,0.004651163,0.037364341,0,0,Dec,2,2,9,3,Returning_Visitor,FALSE,0
0,0,0,0,5,249,0,0.04,0,0,May,2,2,1,6,Returning_Visitor,FALSE,0
0,0,16,1210.397619,5,279.8571429,0.003174603,0.012764202,0,0,Mar,2,2,1,8,Returning_Visitor,FALSE,0
9,328.75,0,0,108,2793.733084,0.001949318,0.019205066,0,0,Nov,2,2,1,3,Returning_Visitor,FALSE,1
1,32,0,0,13,813.8,0,0.030769231,32.43738462,0,May,1,1,3,4,Returning_Visitor,TRUE,0
3,318.2,0,0,7,414.8666667,0,0.01,0,0,Nov,1,1,6,2,Returning_Visitor,FALSE,0
0,0,0,0,11,316.6666667,0,0.027272727,0,0.8,Feb,2,2,2,1,Returning_Visitor,FALSE,0
4,28.5,0,0,20,500.5,0,0.029824561,0,0,Nov,4,1,2,1,Returning_Visitor,TRUE,0
0,0,0,0,4,60.5,0.1,0.15,0,0,Nov,1,1,1,1,Returning_Visitor,FALSE,0
4,227.48,3,432.2,56,4895.26,0.016949153,0.043785311,5.763678818,0,Nov,2,4,3,1,Returning_Visitor,FALSE,0
0,0,0,0,5,17,0,0.04,0,0,May,4,2,3,1,Returning_Visitor,FALSE,0
12,248.2285714,0,0,66,1158.782857,0.009722222,0.022569444,0,0,Aug,3,2,1,3,Returning_Visitor,FALSE,0
1,6,0,0,15,762,0,0.014285714,0,0,Dec,8,13,9,20,Other,FALSE,0
1,0,0,0,8,534.875,0.008888889,0.074074074,0,0,Nov,2,2,1,10,Returning_Visitor,FALSE,0
0,0,0,0,50,1156.384921,0.008,0.0355,0,0.6,May,2,2,4,1,Returning_Visitor,FALSE,0
0,0,0,0,21,584.1333333,0,0.007142857,0,0,May,2,2,4,4,Returning_Visitor,TRUE,0
0,0,0,0,1,0,0.2,0.2,0,0,Dec,2,2,3,13,Returning_Visitor,FALSE,0
2,27.25,0,0,1,31.5,0.05,0.066666667,0,0,Dec,3,2,2,3,Returning_Visitor,FALSE,1
2,55.5,0,0,2,26,0,0.06,0,0,Dec,1,2,9,3,Returning_Visitor,TRUE,1
0,0,0,0,5,57,0.08,0.12,0,0,Mar,2,5,2,1,Returning_Visitor,FALSE,0
0,0,1,2.5,14,592.5666667,0.013333333,0.023333333,0,1,May,3,2,3,3,Returning_Visitor,TRUE,0
2,77,0,0,32,1223.416667,0,0.010784314,215.0094118,0,May,3,2,4,2,Returning_Visitor,FALSE,1
0,0,0,0,28,319.2771429,0.042857143,0.09265873,0,0,Aug,2,2,1,2,Returning_Visitor,FALSE,0
1,4,0,0,11,724,0,0.036363636,0,0,Nov,2,2,1,1,Returning_Visitor,FALSE,0
5,191.8333333,1,17,10,209.3333333,0,0.018181818,0,0,Dec,1,1,8,2,Returning_Visitor,FALSE,0
0,0,0,0,5,280.2,0,0.033333333,19.50605707,0,Aug,1,1,4,2,New_Visitor,FALSE,1
0,0,0,0,2,43,0,0.1,0,0.4,Feb,2,2,3,3,Returning_Visitor,FALSE,0
0,0,0,0,9,719.5833333,0.022222222,0.055555556,0,0,Nov,2,4,4,2,Returning_Visitor,FALSE,0
10,78.9,0,0,15,718.8,0,0.015789474,0,0,Nov,2,2,4,2,New_Visitor,FALSE,0
0,0,3,29,41,1652.75,0.013636364,0.035119048,0,0,May,2,2,4,4,Returning_Visitor,TRUE,0
1,19.75,2,0,29,942.3958333,0.048181818,0.075942002,0,0,Dec,3,2,1,2,Returning_Visitor,FALSE,0
2,21,1,26,22,326.5833333,0.018181818,0.066666667,0,0,Mar,3,2,4,3,Returning_Visitor,FALSE,0
0,0,0,0,48,476.3600939,0.000694444,0.028639403,0,0,Aug,1,1,1,2,Returning_Visitor,FALSE,0
0,0,0,0,5,124,0,0.06,0,0,Nov,1,1,3,11,Returning_Visitor,FALSE,0
0,0,0,0,1,0,0.2,0.2,0,0,Nov,2,4,3,3,Returning_Visitor,FALSE,0
0,0,0,0,9,1726.5,0,0.05,0,0,Dec,2,4,7,1,Returning_Visitor,FALSE,0
0,0,0,0,14,242.0833333,0.014285714,0.023809524,0,0,Nov,1,1,1,2,Returning_Visitor,FALSE,1
0,0,0,0,24,671.0886525,0.026666667,0.036566293,0,0,Nov,1,1,3,2,Returning_Visitor,FALSE,0
6,162.1071429,0,0,31,1269.766667,0.012121212,0.021212121,29.77472727,0,May,2,5,1,2,New_Visitor,TRUE,0
1,27.5,0,0,11,243.6666667,0,0.018181818,0,0,Mar,3,2,1,3,Returning_Visitor,FALSE,0
3,37.5,0,0,46,1804.9,0.017730496,0.039361702,0,0,May,2,2,3,6,Returning_Visitor,FALSE,0
6,184.2727273,0,0,32,1427.689394,0.010810811,0.01966967,13.49031898,0,Nov,2,2,1,13,Returning_Visitor,FALSE,1
1,20,0,0,18,512.8333333,0.021052632,0.046491228,4.308315789,0,May,1,1,3,3,Returning_Visitor,FALSE,0
0,0,0,0,1,0,0.2,0.2,0,0,Dec,1,2,1,1,Returning_Visitor,FALSE,0
0,0,0,0,10,385,0,0.022222222,0,0,Dec,2,2,3,2,New_Visitor,TRUE,0
9,250.2222222,5,343.875,82,5076.380556,0,0.010982424,28.41708136,0,Dec,3,2,1,13,Returning_Visitor,FALSE,1
0,0,2,33,21,1277.833333,0.008695652,0.036956522,0,0,May,2,2,7,6,Returning_Visitor,TRUE,0
11,247.3333333,2,369,90,7221,0.001030928,0.003917526,13.46406308,0,Mar,2,2,3,8,Returning_Visitor,FALSE,1
0,0,0,0,15,1074.428571,0.015384615,0.021538462,0,0,Mar,3,2,1,1,Returning_Visitor,FALSE,0
0,0,0,0,1,0,0.2,0.2,0,0,May,2,2,1,13,Returning_Visitor,FALSE,0
0,0,0,0,33,601.9714286,0.006451613,0.012903226,0,0,May,2,2,7,13,Returning_Visitor,FALSE,0
2,58.5,0,0,37,1351.908333,0.005405405,0.018670099,5.464243549,0,Dec,2,2,3,1,Returning_Visitor,FALSE,0
0,0,0,0,2,0,0.2,0.2,0,0.6,May,2,2,1,3,Returning_Visitor,FALSE,0
0,0,0,0,23,996.4380952,0,0.019927536,0,0.8,May,3,2,8,4,Returning_Visitor,FALSE,0
5,325.3333333,4,94,39,1603.5,0.005,0.0115625,0,0,May,1,1,1,3,Returning_Visitor,FALSE,0
0,0,0,0,5,68.4,0,0.08,0,0,June,2,4,2,4,Returning_Visitor,FALSE,0
12,356.125,0,0,44,2187.338725,0.005102041,0.029042386,0,0,Dec,1,1,8,1,Returning_Visitor,FALSE,0
0,0,0,0,16,177.5,0.025,0.0875,0,0.6,May,4,2,1,6,Returning_Visitor,FALSE,0
7,56.3,0,0,11,353.9,0.025,0.04375,10.02470626,0,Oct,2,2,2,1,Returning_Visitor,FALSE,0
15,937.1746032,3,357,109,6682.677557,0.000833333,0.005345441,2.526616865,0,Mar,1,2,3,2,Returning_Visitor,FALSE,0
0,0,2,889.5,30,784.0833333,0.025,0.046875,0,0,Dec,2,2,6,13,Returning_Visitor,FALSE,0
2,28.66666667,0,0,12,224.1666667,0,0.023333333,44.73466667,0,Mar,3,2,6,2,Returning_Visitor,FALSE,1
1,14.2,1,26.2,3,25.2,0,0.04,0,0,Nov,6,2,9,2,Returning_Visitor,FALSE,0
0,0,0,0,17,290.8333333,0,0.0125,0,0.4,May,2,2,3,2,Returning_Visitor,FALSE,0
0,0,0,0,2,0,0.2,0.2,0,0,June,1,1,3,2,Returning_Visitor,FALSE,0
5,86,0,0,23,267.3,0,0.016,0,0,Mar,1,1,4,9,Returning_Visitor,TRUE,0
0,0,2,59.5,43,760.875,0.018412698,0.036790123,0,0,Dec,4,2,1,2,Returning_Visitor,TRUE,0
7,253.4,0,0,12,832.7,0,0.004761905,0,0,June,2,5,3,5,New_Visitor,FALSE,0
3,87,0,0,10,320.5,0,0.015384615,0,0,Feb,1,1,2,3,Returning_Visitor,FALSE,0
0,0,0,0,13,700.6666667,0,0.015384615,0,0,May,3,2,1,4,Returning_Visitor,FALSE,0
0,0,0,0,26,553.5,0,0.008333333,35.98,0,May,2,5,3,4,Returning_Visitor,FALSE,1
4,162.5,2,44.5,20,1115.266667,0,0.020661157,0,0,Mar,1,2,3,10,Returning_Visitor,FALSE,0
2,23.8,0,0,6,135.2,0,0.025,0,0,Sep,2,5,3,1,New_Visitor,FALSE,0
0,0,0,0,18,636.5,0,0.027777778,0,0,Dec,2,2,3,2,Returning_Visitor,FALSE,0
0,0,0,0,8,32.2,0.125,0.15,0,0,June,1,1,1,3,Returning_Visitor,FALSE,0
0,0,0,0,9,953.8333333,0,0.027777778,0,0,May,2,4,4,1,Returning_Visitor,TRUE,0
0,0,0,0,4,219.5,0,0.016666667,0,0,May,1,2,2,2,Returning_Visitor,FALSE,0
5,46,1,0,61,867.4642857,0.000585938,0.028052083,0,0.8,May,2,2,1,3,Returning_Visitor,FALSE,0
5,66.5,0,0,29,1141.175,0.010416667,0.025902778,0,0,Nov,3,2,1,2,Returning_Visitor,FALSE,0
3,37.5,0,0,18,607.5,0,0.010526316,361.7637419,0,Nov,2,2,3,2,New_Visitor,FALSE,1
1,28.2,0,0,20,679.5666667,0,0.006349206,0,0,Nov,2,2,2,3,New_Visitor,FALSE,0
0,0,0,0,19,447.7166667,0,0.011111111,0,0,Sep,3,2,1,2,Returning_Visitor,TRUE,0
0,0,0,0,7,80.5,0.028571429,0.038095238,0,0,May,1,1,3,3,Returning_Visitor,FALSE,0
0,0,0,0,3,6,0.066666667,0.133333333,0,0.6,May,2,2,1,1,Returning_Visitor,FALSE,0
0,0,0,0,8,134,0,0.025,0,0,May,2,2,1,2,Returning_Visitor,FALSE,0
3,73.2,5,124.2666667,10,239.7,0,0.0025,0,0,Sep,2,2,5,1,New_Visitor,FALSE,0
0,0,0,0,14,363.3,0.019047619,0.045986395,0,0,May,1,1,6,2,Returning_Visitor,TRUE,0
2,127,0,0,19,1431.666667,0,0.01,0,0.2,May,2,2,4,2,Returning_Visitor,FALSE,0
0,0,0,0,28,1252.75,0.010714286,0.042857143,0,0,Nov,2,2,1,13,Returning_Visitor,FALSE,0
6,57.5,0,0,66,1285.548533,0.004109589,0.018513906,20.97239726,0,May,2,2,1,6,Returning_Visitor,FALSE,1
15,641.5357143,3,298.6666667,13,798.5357143,0,0.011594203,0,0,May,3,2,2,4,Returning_Visitor,FALSE,0
0,0,0,0,44,547,0.06,0.087407407,0,0.6,May,3,2,1,13,Returning_Visitor,FALSE,0
1,0,0,0,15,487.5,0,0.019166667,0,0.8,Feb,1,1,2,4,Returning_Visitor,TRUE,0
4,379.5,0,0,188,8618.031872,0.003454411,0.019765654,0,0,Nov,2,2,1,2,Returning_Visitor,FALSE,0
0,0,0,0,5,134.5,0.04,0.024,0,0,Nov,3,2,9,3,Returning_Visitor,TRUE,0
0,0,0,0,1,0,0.2,0.2,0,0,Nov,2,6,1,2,Returning_Visitor,FALSE,0
0,0,0,0,9,1591,0.066666667,0.133333333,0,0,Dec,2,2,3,13,Returning_Visitor,FALSE,0
8,274.5,0,0,129,5883.040509,0.003076923,0.008735669,0,0,May,1,1,6,2,Returning_Visitor,FALSE,0
2,36.4,0,0,75,1959.304762,0.005479452,0.027146119,0,0,May,2,2,2,4,Returning_Visitor,FALSE,0
0,0,0,0,15,310.1666667,0,0.006666667,0,0,Feb,1,1,4,4,Returning_Visitor,FALSE,0
0,0,0,0,7,141.8333333,0.064285714,0.15,0,0,Mar,2,2,1,1,Returning_Visitor,FALSE,0
0,0,0,0,3,51,0,0.1,0,0,Nov,2,2,3,2,Other,FALSE,0
0,0,0,0,20,379.4166667,0.002857143,0.0295,0,1,May,3,2,1,2,Returning_Visitor,TRUE,0
1,106.3,0,0,32,2331.15,0.03125,0.048958333,0,0,Aug,3,2,4,1,Returning_Visitor,FALSE,0
